t (s)	U1(V)	U2(V)
7,470000	0,280410	-0,355686
7,480000	0,269894	-0,339911
7,490000	0,254119	-0,324135
7,500000	0,238345	-0,308359
7,510000	0,217312	-0,292584
7,520000	0,206796	-0,276808
7,530000	0,191021	-0,261032
7,540000	0,169988	-0,245257
7,550000	0,154214	-0,229481
7,560000	0,143698	-0,213705
7,570000	0,127923	-0,192671
7,580000	0,112149	-0,176895
7,590000	0,096374	-0,161120
7,600000	0,080600	-0,145344
7,610000	0,064825	-0,134827
7,620000	0,049051	-0,119051
7,630000	0,033276	-0,108534
7,640000	0,022760	-0,092758
7,650000	0,006985	-0,076983
7,660000	-0,008789	-0,066465
7,670000	-0,024564	-0,055948
7,680000	-0,035080	-0,040173
7,690000	-0,045596	-0,029655
7,700000	-0,056113	-0,019138
7,710000	-0,071887	-0,008621
7,720000	-0,077145	0,007154
7,730000	-0,087661	0,017672
7,740000	-0,098178	0,028189
7,750000	-0,108694	0,038706
7,760000	-0,119210	0,043964
7,770000	-0,124469	0,049223
7,780000	-0,134985	0,059740
7,790000	-0,140243	0,064999
7,800000	-0,150759	0,070257
7,810000	-0,156018	0,075516
7,820000	-0,156018	0,080774
7,830000	-0,161276	0,086033
7,840000	-0,166534	0,091291
7,850000	-0,171792	0,086033
7,860000	-0,177050	0,096550
7,870000	-0,177050	0,096550
7,880000	-0,177050	0,096550
7,890000	-0,182308	0,096550
7,900000	-0,182308	0,096550
7,910000	-0,177050	0,091291
7,920000	-0,182308	0,086033
7,930000	-0,177050	0,086033
7,940000	-0,177050	0,080774
7,950000	-0,171792	0,080774
7,960000	-0,171792	0,075516
7,970000	-0,166534	0,070257
7,980000	-0,161276	0,059740
7,990000	-0,156018	0,054482
8,000000	-0,156018	0,049223
8,010000	-0,145501	0,038706
8,020000	-0,140243	0,033447
8,030000	-0,134985	0,022930
8,040000	-0,124469	0,017672
8,050000	-0,119210	0,007154
8,060000	-0,108694	0,001896
8,070000	-0,098178	-0,013880
8,080000	-0,092920	-0,019138
8,090000	-0,082403	-0,029655
8,100000	-0,071887	-0,045431
8,110000	-0,056113	-0,055948
8,120000	-0,050854	-0,066465
8,130000	-0,035080	-0,082241
8,140000	-0,019305	-0,092758
8,150000	-0,008789	-0,108534
8,160000	0,006985	-0,124310
8,170000	0,022760	-0,140085
8,180000	0,033276	-0,155861
8,190000	0,049051	-0,171637
8,200000	0,059567	-0,187412
8,210000	0,075342	-0,197929
8,220000	0,091116	-0,218964
8,230000	0,106890	-0,229481
8,240000	0,117407	-0,250515
8,250000	0,138439	-0,261032
8,260000	0,154214	-0,282066
8,270000	0,169988	-0,297842
8,280000	0,185763	-0,313618
8,290000	0,201537	-0,329394
8,300000	0,212054	-0,345169
8,310000	0,233086	-0,366203
8,320000	0,248861	-0,381979
8,330000	0,264635	-0,397755
8,340000	0,285668	-0,408272
8,350000	0,296184	-0,424048
8,360000	0,311959	-0,445082
8,370000	0,322475	-0,460858
8,380000	0,338250	-0,471375
8,390000	0,354024	-0,487150
8,400000	0,369799	-0,502926
8,410000	0,385573	-0,518702
8,420000	0,401348	-0,529219
8,430000	0,411864	-0,544995
8,440000	0,427638	-0,560770
8,450000	0,443413	-0,571287
8,460000	0,459187	-0,587063
8,470000	0,469704	-0,597580
8,480000	0,485478	-0,608097
8,490000	0,495994	-0,618614
8,500000	0,506511	-0,634390
8,510000	0,522285	-0,644907
8,520000	0,532802	-0,655424
8,530000	0,548576	-0,665942
8,540000	0,553834	-0,671200
8,550000	0,564351	-0,686976
8,560000	0,580125	-0,692234
8,570000	0,585383	-0,697493
8,580000	0,590641	-0,708010
8,590000	0,601158	-0,718527
8,600000	0,606416	-0,718527
8,610000	0,616932	-0,729044
8,620000	0,622190	-0,734303
8,630000	0,627448	-0,744820
