t (s)	U1(V)	U2(V)
3,150000	-0,487282	0,038706
3,160000	-0,492540	0,028189
3,170000	-0,497798	0,017672
3,180000	-0,508314	0,007154
3,190000	-0,508314	-0,013880
3,200000	-0,513573	-0,019138
3,210000	-0,513573	-0,034914
3,220000	-0,513573	-0,050690
3,230000	-0,513573	-0,061207
3,240000	-0,518831	-0,071724
3,250000	-0,513573	-0,087500
3,260000	-0,513573	-0,103275
3,270000	-0,513573	-0,119051
3,280000	-0,508314	-0,134827
3,290000	-0,508314	-0,150602
3,300000	-0,503056	-0,166378
3,310000	-0,492540	-0,182154
3,320000	-0,487282	-0,203188
3,330000	-0,482024	-0,218964
3,340000	-0,471507	-0,234739
3,350000	-0,460991	-0,255774
3,360000	-0,450475	-0,266291
3,370000	-0,439958	-0,287325
3,380000	-0,429442	-0,303101
3,390000	-0,413668	-0,318876
3,400000	-0,397893	-0,334652
3,410000	-0,387377	-0,355686
3,420000	-0,371602	-0,371462
3,430000	-0,355828	-0,387238
3,440000	-0,340053	-0,403013
3,450000	-0,324279	-0,424048
3,460000	-0,308504	-0,439823
3,470000	-0,292730	-0,455599
3,480000	-0,271697	-0,471375
3,490000	-0,250664	-0,487150
3,500000	-0,229632	-0,502926
3,510000	-0,213857	-0,513443
3,520000	-0,187567	-0,529219
3,530000	-0,166534	-0,539736
3,540000	-0,145501	-0,550253
3,550000	-0,124469	-0,566029
3,560000	-0,103436	-0,581805
3,570000	-0,077145	-0,592322
3,580000	-0,050854	-0,608097
3,590000	-0,029822	-0,618614
3,600000	-0,008789	-0,629132
3,610000	0,017502	-0,639649
3,620000	0,043793	-0,644907
3,630000	0,064825	-0,655424
3,640000	0,091116	-0,660683
3,650000	0,117407	-0,671200
3,660000	0,143698	-0,681717
3,670000	0,164730	-0,686976
3,680000	0,191021	-0,702751
3,690000	0,217312	-0,708010
3,700000	0,238345	-0,713269
3,710000	0,264635	-0,723786
3,720000	0,290926	-0,729044
3,730000	0,311959	-0,734303
3,740000	0,338250	-0,739561
3,750000	0,359282	-0,744820
3,760000	0,385573	-0,750079
3,770000	0,406606	-0,755337
3,780000	0,432897	-0,755337
3,790000	0,453929	-0,755337
3,800000	0,480220	-0,755337
3,810000	0,501253	-0,755337
3,820000	0,522285	-0,755337
3,830000	0,543318	-0,750079
3,840000	0,564351	-0,750079
3,850000	0,585383	-0,750079
3,860000	0,601158	-0,750079
3,870000	0,627448	-0,744820
3,880000	0,643223	-0,739561
3,890000	0,664256	-0,734303
3,900000	0,680030	-0,734303
3,910000	0,695805	-0,729044
3,920000	0,711579	-0,723786
3,930000	0,727354	-0,718527
3,940000	0,743128	-0,713269
3,950000	0,753644	-0,702751
3,960000	0,769419	-0,692234
3,970000	0,779935	-0,686976
3,980000	0,790451	-0,676459
3,990000	0,806226	-0,665942
4,000000	0,816742	-0,655424
4,010000	0,822000	-0,644907
4,020000	0,827259	-0,634390
4,030000	0,832517	-0,623873
4,040000	0,837775	-0,608097
4,050000	0,848291	-0,597580
4,060000	0,853549	-0,581805
4,070000	0,858808	-0,566029
4,080000	0,864066	-0,555512
4,090000	0,864066	-0,539736
4,100000	0,864066	-0,523960
4,110000	0,864066	-0,508185
4,120000	0,869324	-0,492409
4,130000	0,869324	-0,476633
4,140000	0,864066	-0,460858
4,150000	0,864066	-0,445082
4,160000	0,858808	-0,424048
4,170000	0,858808	-0,408272
4,180000	0,848291	-0,392496
4,190000	0,843033	-0,371462
4,200000	0,832517	-0,355686
4,210000	0,827259	-0,334652
4,220000	0,822000	-0,324135
4,230000	0,811484	-0,303101
4,240000	0,800968	-0,287325
4,250000	0,785193	-0,266291
4,260000	0,774677	-0,250515
4,270000	0,764161	-0,229481
4,280000	0,753644	-0,213705
4,290000	0,737870	-0,197929
4,300000	0,722095	-0,182154
4,310000	0,711579	-0,161120
4,320000	0,695805	-0,145344
4,330000	0,674772	-0,129568
4,340000	0,658997	-0,113792
4,350000	0,643223	-0,098017
4,360000	0,622190	-0,076983
4,370000	0,601158	-0,055948
4,380000	0,585383	-0,045431
4,390000	0,564351	-0,024397
4,400000	0,538060	-0,008621
4,410000	0,522285	0,007154
4,420000	0,501253	0,022930
4,430000	0,480220	0,038706
4,440000	0,453929	0,054482
4,450000	0,438155	0,070257
4,460000	0,417122	0,080774
4,470000	0,390831	0,091291
4,480000	0,369799	0,101809
4,490000	0,343508	0,112326
4,500000	0,322475	0,128101
4,510000	0,301442	0,138619
4,520000	0,275152	0,149136
4,530000	0,248861	0,159653
4,540000	0,227828	0,164911
4,550000	0,206796	0,175428
4,560000	0,180505	0,185946
4,570000	0,159472	0,191204
4,580000	0,133181	0,196463
4,590000	0,112149	0,201721
4,600000	0,091116	0,212238
4,610000	0,070083	0,217497
4,620000	0,049051	0,222756
4,630000	0,022760	0,233273
4,640000	0,001727	0,233273
4,650000	-0,024564	0,238531
4,660000	-0,045596	0,238531
4,670000	-0,066629	0,238531
4,680000	-0,087661	0,243790
4,690000	-0,108694	0,243790
4,700000	-0,129727	0,238531
4,710000	-0,150759	0,233273
4,720000	-0,171792	0,238531
4,730000	-0,182308	0,228014
4,740000	-0,203341	0,228014
4,750000	-0,219116	0,228014
4,760000	-0,240148	0,217497
4,770000	-0,255923	0,212238
4,780000	-0,271697	0,206980
4,790000	-0,282213	0,201721
4,800000	-0,297988	0,196463
4,810000	-0,313762	0,185946
4,820000	-0,324279	0,175428
4,830000	-0,340053	0,170170
4,840000	-0,350570	0,154394
4,850000	-0,355828	0,149136
4,860000	-0,371602	0,133360
4,870000	-0,382119	0,128101
4,880000	-0,387377	0,117584
4,890000	-0,397893	0,101809
4,900000	-0,408409	0,086033
4,910000	-0,413668	0,075516
4,920000	-0,418926	0,059740
4,930000	-0,418926	0,043964
4,940000	-0,429442	0,033447
4,950000	-0,429442	0,017672
4,960000	-0,434700	-0,003363
4,970000	-0,434700	-0,019138
4,980000	-0,439958	-0,034914
4,990000	-0,434700	-0,050690
5,000000	-0,439958	-0,066465
5,010000	-0,434700	-0,087500
5,020000	-0,434700	-0,103275
5,030000	-0,429442	-0,119051
5,040000	-0,424184	-0,140085
5,050000	-0,418926	-0,155861
5,060000	-0,413668	-0,176895
5,070000	-0,408409	-0,197929
5,080000	-0,403151	-0,218964
5,090000	-0,392635	-0,234739
5,100000	-0,382119	-0,255774
5,110000	-0,376860	-0,271549
5,120000	-0,366344	-0,292584
5,130000	-0,355828	-0,313618
5,140000	-0,345311	-0,334652
5,150000	-0,334795	-0,350428
5,160000	-0,319021	-0,366203
5,170000	-0,303246	-0,387238
5,180000	-0,292730	-0,408272
5,190000	-0,276955	-0,424048
5,200000	-0,266439	-0,439823
5,210000	-0,245406	-0,460858
5,220000	-0,234890	-0,476633
5,230000	-0,213857	-0,497668
5,240000	-0,198083	-0,513443
5,250000	-0,182308	-0,534477
5,260000	-0,166534	-0,550253
5,270000	-0,145501	-0,566029
5,280000	-0,124469	-0,587063
5,290000	-0,103436	-0,602839
5,300000	-0,087661	-0,618614
5,310000	-0,066629	-0,634390
5,320000	-0,045596	-0,650166
5,330000	-0,024564	-0,671200
5,340000	0,001727	-0,681717
5,350000	0,022760	-0,692234
5,360000	0,043793	-0,708010
5,370000	0,064825	-0,718527
5,380000	0,085858	-0,734303
5,390000	0,106890	-0,744820
5,400000	0,127923	-0,755337
5,410000	0,148956	-0,765854
5,420000	0,169988	-0,771113
5,430000	0,191021	-0,781630
5,440000	0,212054	-0,786888
5,450000	0,238345	-0,802664
5,460000	0,254119	-0,807923
5,470000	0,275152	-0,813181
5,480000	0,296184	-0,818440
5,490000	0,317217	-0,823698
5,500000	0,338250	-0,828957
5,510000	0,364540	-0,834216
5,520000	0,375057	-0,834216
5,530000	0,401348	-0,839474
5,540000	0,417122	-0,839474
5,550000	0,438155	-0,839474
5,560000	0,464445	-0,839474
5,570000	0,474962	-0,839474
5,580000	0,495994	-0,839474
5,590000	0,517027	-0,839474
5,600000	0,532802	-0,839474
5,610000	0,548576	-0,834216
5,620000	0,569609	-0,834216
5,630000	0,580125	-0,828957
5,640000	0,601158	-0,823698
5,650000	0,616932	-0,818440
5,660000	0,632707	-0,807923
5,670000	0,643223	-0,797406
5,680000	0,653739	-0,786888
5,690000	0,669514	-0,781630
5,700000	0,680030	-0,771113
5,710000	0,695805	-0,760596
5,720000	0,706321	-0,744820
5,730000	0,711579	-0,739561
5,740000	0,722095	-0,729044
5,750000	0,732612	-0,718527
5,760000	0,743128	-0,697493
5,770000	0,748386	-0,686976
5,780000	0,753644	-0,665942
5,790000	0,758903	-0,650166
5,800000	0,758903	-0,634390
5,810000	0,764161	-0,618614
5,820000	0,769419	-0,602839
5,830000	0,769419	-0,587063
5,840000	0,774677	-0,566029
5,850000	0,774677	-0,550253
5,860000	0,774677	-0,534477
5,870000	0,774677	-0,513443
5,880000	0,774677	-0,497668
5,890000	0,774677	-0,476633
5,900000	0,769419	-0,460858
5,910000	0,764161	-0,439823
5,920000	0,758903	-0,418789
5,930000	0,753644	-0,397755
5,940000	0,753644	-0,376721
5,950000	0,743128	-0,360945
5,960000	0,737870	-0,339911
5,970000	0,732612	-0,318876
5,980000	0,722095	-0,297842
5,990000	0,716837	-0,276808
6,000000	0,706321	-0,255774
6,010000	0,695805	-0,239998
6,020000	0,685288	-0,213705
6,030000	0,674772	-0,192671
6,040000	0,658997	-0,171637
6,050000	0,648481	-0,145344
6,060000	0,632707	-0,129568
6,070000	0,622190	-0,108534
6,080000	0,606416	-0,087500
6,090000	0,585383	-0,066465
6,100000	0,569609	-0,040173
6,110000	0,559092	-0,024397
6,120000	0,538060	-0,008621
6,130000	0,522285	0,017672
6,140000	0,506511	0,033447
6,150000	0,490736	0,054482
6,160000	0,469704	0,070257
6,170000	0,453929	0,086033
6,180000	0,432897	0,107067
6,190000	0,411864	0,122843
6,200000	0,396089	0,138619
6,210000	0,380315	0,159653
6,220000	0,359282	0,175428
6,230000	0,338250	0,196463
6,240000	0,317217	0,206980
6,250000	0,296184	0,217497
6,260000	0,280410	0,233273
6,270000	0,259377	0,238531
6,280000	0,238345	0,254307
6,290000	0,217312	0,264824
6,300000	0,191021	0,275341
6,310000	0,175247	0,285858
6,320000	0,154214	0,296375
6,330000	0,138439	0,301634
6,340000	0,117407	0,306893
6,350000	0,096374	0,317410
6,360000	0,080600	0,322668
6,370000	0,059567	0,322668
6,380000	0,038534	0,327927
6,390000	0,022760	0,327927
6,400000	0,001727	0,333185
6,410000	-0,019305	0,333185
6,420000	-0,035080	0,338444
6,430000	-0,050854	0,338444
6,440000	-0,066629	0,338444
6,450000	-0,082403	0,333185
6,460000	-0,103436	0,333185
6,470000	-0,119210	0,327927
6,480000	-0,134985	0,327927
6,490000	-0,145501	0,322668
6,500000	-0,161276	0,317410
6,510000	-0,177050	0,306893
6,520000	-0,187567	0,301634
6,530000	-0,203341	0,296375
6,540000	-0,219116	0,291117
6,550000	-0,229632	0,280600
6,560000	-0,240148	0,270083
6,570000	-0,250664	0,254307
6,580000	-0,261181	0,249048
6,590000	-0,271697	0,233273
6,600000	-0,276955	0,222756
6,610000	-0,287472	0,206980
6,620000	-0,292730	0,196463
6,630000	-0,303246	0,180687
6,640000	-0,308504	0,164911
6,650000	-0,313762	0,149136
6,660000	-0,319021	0,133360
6,670000	-0,324279	0,117584
6,680000	-0,324279	0,101809
6,690000	-0,329537	0,086033
6,700000	-0,334795	0,064999
6,710000	-0,340053	0,049223
6,720000	-0,334795	0,033447
6,730000	-0,340053	0,017672
6,740000	-0,340053	-0,008621
6,750000	-0,334795	-0,029655
6,760000	-0,329537	-0,050690
6,770000	-0,334795	-0,071724
6,780000	-0,329537	-0,092758
6,790000	-0,324279	-0,113792
6,800000	-0,319021	-0,140085
6,810000	-0,313762	-0,161120
6,820000	-0,308504	-0,182154
6,830000	-0,297988	-0,208447
6,840000	-0,292730	-0,229481
6,850000	-0,287472	-0,250515
6,860000	-0,276955	-0,276808
6,870000	-0,266439	-0,297842
6,880000	-0,261181	-0,318876
6,890000	-0,250664	-0,345169
6,900000	-0,240148	-0,371462
6,910000	-0,229632	-0,392496
6,920000	-0,219116	-0,413531
6,930000	-0,208599	-0,434565
6,940000	-0,192825	-0,455599
6,950000	-0,182308	-0,476633
6,960000	-0,171792	-0,497668
6,970000	-0,156018	-0,518702
6,980000	-0,140243	-0,539736
6,990000	-0,124469	-0,555512
7,000000	-0,113952	-0,576546
7,010000	-0,098178	-0,597580
7,020000	-0,077145	-0,618614
7,030000	-0,066629	-0,639649
7,040000	-0,045596	-0,655424
7,050000	-0,029822	-0,671200
7,060000	-0,014047	-0,692234
7,070000	0,001727	-0,708010
7,080000	0,022760	-0,723786
7,090000	0,038534	-0,744820
7,100000	0,054309	-0,760596
7,110000	0,075342	-0,776371
7,120000	0,091116	-0,786888
7,130000	0,112149	-0,802664
7,140000	0,127923	-0,818440
7,150000	0,148956	-0,828957
7,160000	0,169988	-0,839474
7,170000	0,185763	-0,849991
7,180000	0,201537	-0,860508
7,190000	0,222570	-0,865767
7,200000	0,238345	-0,876284
7,210000	0,254119	-0,881543
7,220000	0,275152	-0,892060
7,230000	0,290926	-0,897318
7,240000	0,306701	-0,902577
7,250000	0,327733	-0,913094
7,260000	0,343508	-0,913094
7,270000	0,364540	-0,918353
7,280000	0,375057	-0,918353
7,290000	0,396089	-0,923611
7,300000	0,411864	-0,928870
7,310000	0,427638	-0,934128
7,320000	0,443413	-0,934128
7,330000	0,459187	-0,928870
7,340000	0,474962	-0,923611
7,350000	0,490736	-0,918353
7,360000	0,501253	-0,918353
7,370000	0,517027	-0,913094
7,380000	0,527543	-0,907835
7,390000	0,543318	-0,902577
7,400000	0,548576	-0,892060
7,410000	0,564351	-0,886801
7,420000	0,574867	-0,876284
7,430000	0,580125	-0,865767
7,440000	0,590641	-0,855250
7,450000	0,601158	-0,844733
7,460000	0,611674	-0,834216
7,470000	0,622190	-0,828957
7,480000	0,622190	-0,807923
7,490000	0,632707	-0,797406
7,500000	0,643223	-0,781630
7,510000	0,648481	-0,765854
7,520000	0,648481	-0,755337
7,530000	0,653739	-0,729044
7,540000	0,658997	-0,718527
7,550000	0,664256	-0,697493
7,560000	0,664256	-0,681717
7,570000	0,669514	-0,660683
7,580000	0,669514	-0,644907
7,590000	0,674772	-0,629132
7,600000	0,674772	-0,608097
7,610000	0,674772	-0,581805
7,620000	0,669514	-0,566029
7,630000	0,669514	-0,544995
7,640000	0,669514	-0,518702
7,650000	0,664256	-0,497668
7,660000	0,664256	-0,471375
7,670000	0,653739	-0,445082
7,680000	0,653739	-0,424048
7,690000	0,643223	-0,397755
7,700000	0,643223	-0,371462
7,710000	0,632707	-0,350428
7,720000	0,627448	-0,324135
7,730000	0,622190	-0,303101
7,740000	0,611674	-0,276808
7,750000	0,606416	-0,250515
7,760000	0,590641	-0,224222
7,770000	0,585383	-0,203188
7,780000	0,574867	-0,176895
7,790000	0,564351	-0,155861
7,800000	0,553834	-0,129568
7,810000	0,538060	-0,108534
7,820000	0,527543	-0,082241
7,830000	0,517027	-0,055948
7,840000	0,501253	-0,034914
7,850000	0,490736	-0,008621
7,860000	0,474962	0,017672
7,870000	0,459187	0,033447
7,880000	0,443413	0,054482
7,890000	0,427638	0,075516
7,900000	0,411864	0,096550
7,910000	0,396089	0,117584
7,920000	0,380315	0,143877
7,930000	0,364540	0,159653
7,940000	0,354024	0,180687
7,950000	0,338250	0,201721
7,960000	0,317217	0,212238
7,970000	0,301442	0,233273
7,980000	0,285668	0,249048
7,990000	0,269894	0,259565
8,000000	0,254119	0,280600
8,010000	0,238345	0,291117
8,020000	0,227828	0,306893
8,030000	0,206796	0,317410
8,040000	0,196279	0,333185
8,050000	0,180505	0,343702
8,060000	0,159472	0,354220
8,070000	0,148956	0,359478
8,080000	0,133181	0,369995
8,090000	0,112149	0,375254
8,100000	0,096374	0,380512
8,110000	0,080600	0,391030
8,120000	0,064825	0,396288
8,130000	0,049051	0,401547
8,140000	0,038534	0,406805
8,150000	0,017502	0,412064
8,160000	0,006985	0,417322
8,170000	-0,008789	0,417322
8,180000	-0,024564	0,422581
8,190000	-0,035080	0,417322
8,200000	-0,050854	0,417322
8,210000	-0,061371	0,417322
8,220000	-0,077145	0,412064
8,230000	-0,087661	0,412064
8,240000	-0,098178	0,401547
8,250000	-0,108694	0,396288
8,260000	-0,124469	0,391030
8,270000	-0,129727	0,385771
8,280000	-0,140243	0,375254
8,290000	-0,150759	0,364737
8,300000	-0,161276	0,359478
8,310000	-0,171792	0,343702
8,320000	-0,177050	0,333185
8,330000	-0,182308	0,317410
8,340000	-0,192825	0,301634
8,350000	-0,198083	0,296375
8,360000	-0,203341	0,275341
8,370000	-0,208599	0,259565
8,380000	-0,213857	0,243790
8,390000	-0,219116	0,228014
8,400000	-0,219116	0,212238
8,410000	-0,219116	0,191204
8,420000	-0,224374	0,175428
8,430000	-0,229632	0,154394
8,440000	-0,229632	0,133360
8,450000	-0,229632	0,117584
8,460000	-0,229632	0,096550
8,470000	-0,229632	0,075516
8,480000	-0,234890	0,054482
8,490000	-0,229632	0,033447
8,500000	-0,229632	0,012413
8,510000	-0,224374	-0,019138
8,520000	-0,224374	-0,040173
8,530000	-0,219116	-0,066465
8,540000	-0,213857	-0,087500
8,550000	-0,213857	-0,113792
8,560000	-0,208599	-0,140085
8,570000	-0,203341	-0,166378
8,580000	-0,192825	-0,187412
8,590000	-0,187567	-0,213705
8,600000	-0,182308	-0,234739
8,610000	-0,171792	-0,261032
8,620000	-0,166534	-0,287325
8,630000	-0,156018	-0,308359
8,640000	-0,150759	-0,339911
